sku,capacity,depth,lid,additional,top_out_a,top_out_b,top_in_a,top_in_b,base_a,base_b,edge,category
1409pl,42.0,19.0,No matching lid.,,69.0,69.0,60.0,60.0,40.0,40.0,Rolled Edge,Custards
1409pl,42.0,19.0,No matching lid.,,69.0,69.0,60.0,60.0,40.0,40.0,Rolled Edge,Custards
1408pl,42.0,20.0,No matching lid.,,66.0,66.0,59.0,59.0,40.0,40.0,Rolled Edge,Custards
1413pl,42.0,21.0,No matching lid.,,69.0,69.0,63.0,63.0,39.0,39.0,Rolled Edge,Custards
1620pl,40.0,30.0,No matching lid.,,65.0,65.0,,,39.0,39.0,Raw Edge,Fluted Cases
1510pl,37.0,20.0,No matching lid.,,66.0,66.0,59.0,59.0,40.0,40.0,Rolled Edge,Custards
1405pl,37.0,18.0,No matching lid.,,66.0,66.0,59.0,59.0,42.0,42.0,Rolled Edge,Custards
1406pl,32.0,15.0,No matching lid.,,66.0,66.0,59.0,59.0,45.0,45.0,Rolled Edge,Custards
1236pl,30.0,11.0,No matching lid.,,77.0,77.0,68.0,68.0,46.0,46.0,Rolled Edge,Patty Pans
1402pl,20.0,17.0,No matching lid.,,52.0,52.0,45.0,45.0,33.0,33.0,Rolled Edge,Custards
1208pl,19.0,10.0,No matching lid.,,69.0,69.0,59.0,59.0,37.0,37.0,Rolled Edge,Patty Pans
1500pl,14.0,16.0,No matching lid.,,48.0,48.0,40.0,40.0,28.0,28.0,Rolled Edge,Custards
3655pl,0.0,20.0,No matching lid.,,330.0,235.0,318.0,208.0,223.0,214.0,Rolled Edge,Special
301spl,14.0,13.0,,,50.0,50.0,44.0,44.0,40.0,40.0,Reversed Rolled Edge,Round
43cm-oval,0.0,26.0,No matching lid.,,424.0,285.0,404.0,265.0,320.0,181.0,Rolled Edge,Platters
35cm-regal,0.0,28.0,No matching lid.,,352.0,247.0,327.0,223.0,265.0,165.0,Rolled Edge,Platters
35cm-oval,0.0,26.0,No matching lid.,,350.0,242.0,328.0,226.0,258.0,156.0,Rolled Edge,Platters
506rpl,103.0,19.0,No matching lid.,,100.0,100.0,89.0,89.0,78.0,78.0,Rolled Edge,Rounds
709-opl,100.0,21.0,No matching lid.,,136.0,107.0,114.0,85.0,73.0,44.0,Rolled Edge,Ovals
2503pl,95.0,27.0,No matching lid.,,90.0,90.0,81.0,81.0,53.0,53.0,Rolled Edge,Custards
3330pl,90.0,9.0,No matching lid.,,185.0,115.0,172.0,102.0,155.0,85.0,Rolled Edge,Special
3100pl,87.0,25.0,No matching lid.,,81.0,81.0,71.0,71.0,61.0,61.0,Rolled Edge,Rounds
1505pl,86.0,32.0,No matching lid.,,86.0,86.0,76.0,76.0,41.0,41.0,Rolled Edge,Custards
504rpl,80.0,17.0,No matching lid.,,100.0,100.0,90.0,90.0,67.0,67.0,Rolled Edge,Rounds
503rpl,78.0,16.0,No matching lid.,,111.0,111.0,93.0,93.0,64.0,64.0,Rolled Edge,Rounds
2500pl,77.0,18.0,No matching lid.,,92.0,92.0,81.0,81.0,65.0,65.0,Rolled Edge,Rounds
2606pl,75.0,19.0,No matching lid.,,117.0,84.0,101.0,69.0,68.0,42.0,Rolled Edge,Oblong
700-opl,74.0,19.0,No matching lid.,,120.0,90.0,98.0,68.0,63.0,41.0,Rolled Edge,Oblong
1456pl,74.0,29.0,No matching lid.,,81.0,81.0,73.0,73.0,40.0,40.0,Rolled Edge,Custards
915cpl,74.0,30.0,No matching lid.,,72.0,72.0,60.0,60.0,50.0,50.0,Rolled Edge,Custards
913cpl,74.0,32.0,No matching lid.,,77.0,77.0,68.0,68.0,41.0,41.0,Rolled Edge,Custards
912cpl,65.0,28.0,No matching lid.,,80.0,80.0,70.0,70.0,41.0,41.0,Rolled Edge,Custards
908cpl,62.0,21.0,No matching lid.,,76.0,76.0,67.0,67.0,48.0,48.0,Rolled Edge,Custards
306spl,150.0,18.0,,,110.0,110.0,100.0,100.0,95.0,95.0,Reversed Rolled Edge,Round
3205pl,150.0,20.0,No matching lid.,,193.0,148.0,185.0,141.0,185.0,141.0,Rolled Edge,Compartmental
525rpl,150.0,28.0,No matching lid.,,111.0,111.0,92.0,92.0,72.0,72.0,Rolled Edge,Rounds
1901pl,143.0,18.0,No matching lid.,,126.0,126.0,113.0,113.0,71.0,71.0,Rolled Edge,Saucers
2427pl,140.0,31.0,No matching lid.,,94.0,94.0,78.0,78.0,71.0,71.0,Rolled Edge,Rounds
806bpl,140.0,44.0,No matching lid.,,80.0,80.0,70.0,70.0,50.0,50.0,Rolled Edge,Basins
2519pl,139.0,20.0,No matching lid.,,109.0,109.0,100.0,100.0,89.0,89.0,Rolled Edge,Rounds
3101pl,137.0,32.0,No matching lid.,,88.0,88.0,79.0,79.0,70.0,70.0,Rolled Edge,Rounds
715-opl,132.0,23.0,No matching lid.,,131.0,93.0,116.0,77.0,82.0,54.0,Rolled Edge,Oblong
120fpl,130.0,20.0,No matching lid.,,110.0,110.0,96.0,96.0,90.0,90.0,Rolled Edge,Flans Non-Fluted
2208pl,130.0,18.0,No matching lid.,,110.0,110.0,101.0,101.0,91.0,91.0,Rolled Edge,Flans Fluted
2421pl,120.0,31.0,No matching lid.,,93.0,93.0,77.0,77.0,61.0,61.0,Rolled Edge,Rounds
707-opl,120.0,21.0,No matching lid.,,130.0,103.0,114.0,86.0,87.0,60.0,Rolled Edge,Ovals
710-opl,120.0,24.0,No matching lid.,,132.0,98.0,108.0,75.0,68.0,43.0,Rolled Edge,Oblong
2750pl,119.0,24.0,No matching lid.,,133.0,100.0,106.0,73.0,72.0,45.0,Rolled Edge,Oblong
510rpl,114.0,22.0,No matching lid.,,111.0,111.0,92.0,92.0,61.0,61.0,Rolled Edge,Rounds
100fpl,200.0,30.0,No matching lid.,,110.0,110.0,97.0,97.0,88.0,88.0,Rolled Edge,Flans Non-Fluted
540rpl,200.0,33.0,No matching lid.,,109.0,109.0,100.0,100.0,78.0,78.0,Rolled Edge,Rounds
