Product Title,SKU,Product Types,Product Categories,Edge Types,Usage,Capacity,Lid,Top Out A,Top Out B,Top In A,Top In B,Base A,Base B,Depth,Weight,Samples Available,Featured Image URL,Date Created,Last Modified
Mini Individual Pie Foil,1000WPL,Wrinklewall,Round,Rolled Edge,Baking,,,50.4,50.4,40,40,28,28,15,15,,https://sai.lamcat.uk/wp-content/uploads/2025/07/1000WPL.png,08/07/2025 20:41,08/07/2025 20:41
Mini Individual Pie Foil,1001WPL,Wrinklewall,Round,Rolled Edge,Baking,,,48.6,48.6,43.6,43.6,38.35,38.35,14,18.4,,https://sai.lamcat.uk/wp-content/uploads/2025/07/1001WPL.png,08/07/2025 20:41,08/07/2025 20:41
Patty Pan,1002WPL,Wrinklewall,Round,Rolled Edge,Baking,,,69.25,69.25,59.5,59.5,37,37,10,19,,https://sai.lamcat.uk/wp-content/uploads/2025/07/1002WPL.jpeg,08/07/2025 20:41,08/07/2025 20:41
Individual Pie Foil,1003WPL,Wrinklewall,Round,Rolled Edge,Baking,,,52.5,52.5,45,45,33,33,17,20,,https://sai.lamcat.uk/wp-content/uploads/2025/07/1003WPL.jpeg,08/07/2025 20:41,08/07/2025 20:41
Individual Pie Foil,1004WPL,Wrinklewall,Round,Rolled Edge,Baking,,,66,66,59.5,59.5,40,40,20,42,,https://sai.lamcat.uk/wp-content/uploads/2025/07/1004WPL.png,08/07/2025 20:41,08/07/2025 20:41
Individual Pie Foil,1005WPL,Wrinklewall,Round,Rolled Edge,Baking,,,68.5,68.5,60,60,40,40,19,42,,https://sai.lamcat.uk/wp-content/uploads/2025/07/1005WPL.png,08/07/2025 20:41,08/07/2025 20:41
Individual Pie Foil,1006WPL,Wrinklewall,Round,Rolled Edge,Baking,,,66.5,66.5,59.5,59.5,50,50,19,44,,https://sai.lamcat.uk/wp-content/uploads/2025/07/1006WPL.png,08/07/2025 20:41,08/07/2025 20:41
Flan Foil,1007WPL,Wrinklewall,Round,Rolled Edge,Baking,,,178.6,178.6,161.9,161.9,127.6,127.6,23,380,,https://sai.lamcat.uk/wp-content/uploads/2025/07/1007WPL.png,08/07/2025 20:41,08/07/2025 20:41
No 2 Container,1008WPL,Wrinklewall,Rectangular,Interrupted Vertical Curl,Takeaway,,Yes,146,122,127,105,108,83,40,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/1008WPL.png,08/07/2025 20:41,08/07/2025 20:41
No 6a Container,1009WPL,Wrinklewall,Rectangular,Interrupted Vertical Curl,Takeaway,670,Yes,198,108,183,92,162,70,50,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/1009WPL.png,08/07/2025 20:41,13/07/2025 16:56
9 x 9 Shallow,1010WPL,Wrinklewall,Square,Interrupted Vertical Curl,Takeaway,,Yes,238,238,228,228,200,200,38,,,,08/07/2025 20:41,08/07/2025 20:41
9 x 9 Deep,1011WPL,Wrinklewall,Square,Interrupted Vertical Curl,Takeaway,,Yes,238,238,228,228,200,200,50,,,,08/07/2025 20:41,08/07/2025 20:41
Rectangular Aluminium Foil Tray,S-178136-32,Smoothwall,Rectangular,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",556,,178,136,164,122,153,111,32,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-178136-32.webp,08/07/2025 20:41,13/07/2025 14:35
Rectangular Aluminium Foil Tray,S-178136-45,Smoothwall,Rectangular,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",730,,178,136,166,122,150,115,45,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-178136-45.webp,08/07/2025 20:41,13/07/2025 16:40
Oval Foil Tray,S-218126-60,Smoothwall,Oval,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",1000,,218,126,202,110,182,93,60,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-218126-70-1.webp,08/07/2025 20:41,20/07/2025 11:44
Oval Foil Tray,S-218126-70,Smoothwall,Oval,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",1190,,218,126,202,110,182,93,70,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-218126-70.webp,08/07/2025 20:41,13/07/2025 16:42
Rectangular Aluminium Foil Tray,S-220130-58,Smoothwall,Rectangular,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",1116,,220,130,202,112,188,98,58,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-220130-58.webp,08/07/2025 20:41,13/07/2025 16:46
Rectangular Foil Tray,S-220130-70,Smoothwall,Rectangular,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",1320,,220,130,202,112,190,100,70,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-220130-70.webp,08/07/2025 20:41,13/07/2025 16:47
Rectangular Foil Tray,S-220150-33,Smoothwall,Rectangular,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",800,,220,150,201,131,190,120,33,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-220150-33.webp,08/07/2025 20:41,13/07/2025 16:48
Rectangular Foil Tray,S-220150-34,Smoothwall,Rectangular,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",800,,220,150,202,121,181,121,34,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-220150-34.png,08/07/2025 20:41,20/07/2025 11:43
Rectangular Foil Tray,S-220150-44,Smoothwall,Rectangular,Reversed Rolled Edge,"Air Fryer, BBQ, Premium",1060,,220,150,202,132,190,120,44,,,https://sai.lamcat.uk/wp-content/uploads/2025/07/S-220150-44.webp,08/07/2025 20:41,13/07/2025 16:54
