Product Title,SKU,Product Types,Product Categories,Edge Types,Capacity,Lid,Additonal,Top Out A,Top Out B,Top In A,Top In B,Base A,Base B,Depth,Weight,Samples Available,Featured Image URL,Image Name
"6.5"" Flan Round Lanced ",W-165-36,Wrinklewall,Round,Rolled Edge,,,"""Baking,Air Fryer""",165,,148,,130,,36,,,,
Pie Foil Oval ,W-130-25,Wrinklewall,Oval,Rolled Edge,,,"""Baking""",130,,73,,45,,25,,,,
Pie Foil Round,W-110-35,Wrinklewall,Round,Rolled Edge,,,"""Baking""",110,,100,,77,,35,,,,
Full Size Gastro Deep,W-525324-78,Wrinklewall,Rectangular,Rolled Edge,,Yes,"""Gastronorm,BBQ""",525,324,498,295,455,255,78,,,,
Full Size Gastro Medium,W-525328-50,Wrinklewall,Rectangular,Rolled Edge,,Yes,"""Gastronorm,BBQ""",525,328,500,300,470,270,50,,,,
Full Size Gastro Lid,W-535335-22,Wrinklewall,Rectangular,Rolled Edge,,,"""Gastronorm,BBQ""",535,335,,,52.5,32.5,22,,,,
1/2 Size Gastro Shallow,W-325265-42,Wrinklewall,Rectangular,Rolled Edge,,Yes,"""Gastronorm""",325,265,300,240,270,210,42,,,,
1/2 Size Gastro Medium,W-325265-51,Wrinklewall,Rectangular,Rolled Edge,,Yes,"""Gastronorm""",325,265,300,240,270,210,51,,,,
Rectangle Roaster,W-455337-63,Wrinklewall,Rectangular,Rolled Edge,,,"""Roaster,BBQ""",455,337,422,300,382,265,63,,,,
Oval Roaster,W-452352-77,Wrinklewall,Oval,Rolled Edge,,,"""Roaster,BBQ""",452,352,410,320,345,265,77,,,,
Loaf Pan,W-315168-73,Wrinklewall,Rectangular,Rolled Edge,,,"""Baking""",315,168,295,145,255,100,73,,,,
4LB Rectangular,W-315210-52,Wrinklewall,Rectangular,Interrupted Vertical Curl,,Yes,"""Baking""",315,210,290,190,270,170,52,,,,
5LB Rectangular,W-253186-78,Wrinklewall,Rectangular,Interrupted Vertical Curl,,Yes,"""Baking""",253,186,233,168,210,138,78,,,,
1.5LB Rectangular Shallow,W-220158-40,Wrinklewall,Rectangular,Interrupted Vertical Curl,,Yes,"""Baking""",220,158,201,140,185,126,40,,,,
2.25LB Rectangular,W-220158-51,Wrinklewall,Rectangular,Interrupted Vertical Curl,,Yes,"""Baking""",220,158,201,140,182,116,51,,,,
1.5LB Rectangular Shallow,W-185138-48,Wrinklewall,Rectangular,Interrupted Vertical Curl,,Yes,"""Baking""",185,138,168,120,147,100,48,,,,
1LB Rectangular,W-150120-46,Wrinklewall,Rectangular,Interrupted Vertical Curl,,Yes,"""Takeaway,No 1 Container""",150,120,130,110,105,83,46,,,,
"9"" Flan Round",W-233233-45,Wrinklewall,Round,Interrupted Vertical Curl,,Yes,"""Baking""",233,,210,,192,,45,,,,
"8"" Flan Round",W-212212-45,Wrinklewall,Round,Interrupted Vertical Curl,,Yes,"""Baking""",212,,195,,175,,45,,,,
"7"" Flan Round",W-182182-44,Wrinklewall,Round,Interrupted Vertical Curl,,Yes,"""Baking""",182,,164,,140,,44,,,,
3 - Compartment,W-220170-44,Wrinklewall,Rectangular,Interrupted Vertical Curl,,Yes,"""Compartment""",220,170,205,150,180,130,44,,,,
Mini Individual Pie Foil,1000WPL,Wrinklewall,Round,Rolled Edge,,,"""Baking""",50.4,,40,,28,,15,15,,,
Mini Individual Pie Foil,1001WPL,Wrinklewall,Round,Rolled Edge,,,"""Baking""",48.6,,43.6,,38.35,,14,18.4,,,
Patty Pan,1002WPL,Wrinklewall,Round,Rolled Edge,,,"""Baking""",69.25,,59.5,,37,,10,19,,,
Individual Pie Foil,1003WPL,Wrinklewall,Round,Rolled Edge,,,"""Baking""",52.5,,45,,33,,17,20,,,
Individual Pie Foil,1004WPL,Wrinklewall,Round,Rolled Edge,,,"""Baking""",66,,59.5,,40,,20,42,,,
Individual Pie Foil,1005WPL,Wrinklewall,Round,Rolled Edge,,,"""Baking""",68.5,,60,,40,,19,42,,,
Individual Pie Foil,1006WPL,Wrinklewall,Round,Rolled Edge,,,"""Baking""",66.5,,59.5,,50,,19,44,,,
Flan Foil,1007WPL,Wrinklewall,Round,Rolled Edge,,,"""Baking""",178.6,,161.9,,127.6,,23,380,,,
No 2 Container,1008WPL,Wrinklewall,Rectangular,Interrupted Vertical Curl,,Yes,"""Takeaway""",146,122,127,105,108,83,40,,,,
No 6a Container,1009WPL,Wrinklewall,Rectangular,Interrupted Vertical Curl,,Yes,"""Takeaway""",198,108,183,92,162,70,50,,,,
9 x 9 Shallow,1010WPL,Wrinklewall,Square,Interrupted Vertical Curl,,Yes,"""Takeaway""",238,238,228,228,200,200,38,,,,
9 x 9 Deep,1011WPL,Wrinklewall,Square,Interrupted Vertical Curl,,Yes,"""Takeaway""",238,238,228,228,200,200,50,,,,
Rectangular,S-178136-32,Smoothwall,Rectangular,Reversed Rolled Edge,556,,"""Premium,Air Fryer,BBQ""",178,136,164,122,153,111,32,,,,
Rectangular,S-178136-45,Smoothwall,Rectangular,Reversed Rolled Edge,730,,"""Premium,Air Fryer,BBQ""",178,136,166,122,150,115,45,,,,
Oval,S-218126-60,Smoothwall,Oval,Reversed Rolled Edge,1000,,"""Premium,Air Fryer,BBQ""",218,126,202,110,182,93,60,,,,
Oval,S-218126-70,Smoothwall,Oval,Reversed Rolled Edge,1190,,"""Premium,Air Fryer,BBQ""",218,126,202,110,182,93,70,,,,
Rectangular,S-220170-45,Smoothwall,Rectangular,Reversed Rolled Edge,1254,,"""Premium,Air Fryer,BBQ""",220,170,201,151,190,140,45,,,,
Rectangular,S-220150-34,Smoothwall,Rectangular,Reversed Rolled Edge,800,,"""Premium,Air Fryer,BBQ""",220,150,202,121,181,121,34,,,,
Rectangular,S-220130-58,Smoothwall,Rectangular,Reversed Rolled Edge,1124,,"""Premium,Air Fryer,BBQ""",220,130,202,112,188,98,58,,,,
Rectangular,S-220130-70,Smoothwall,Rectangular,Reversed Rolled Edge,1320,,"""Premium,Air Fryer,BBQ""",220,130,202,112,190,100,70,,,,
Rectangular,S-220150-33,Smoothwall,Rectangular,Reversed Rolled Edge,800,,"""Premium,Air Fryer,BBQ""",220,150,201,131,190,120,33,,,,
Rectangular,S-220150-90,Smoothwall,Rectangular,Reversed Rolled Edge,1920,No matching lid.,"""Premium,Air Fryer,BBQ""",220,150,202,132,175,105,90,,,,
Rectangular,S-220150-60,Smoothwall,Rectangular,Reversed Rolled Edge,1380,,"""Premium,Air Fryer,BBQ""",220,150,201,131,186,116,60,,,,
Rectangular,S-220150-44,Smoothwall,Rectangular,Reversed Rolled Edge,1060,,"""Premium,Air Fryer,BBQ""",220,150,202,132,190,120,44,,,,
Rectangular,S-220150-45,Smoothwall,Rectangular,Reversed Rolled Edge,1060,,"""Premium,Air Fryer,BBQ""",220,150,202,132,188,118,45,,,,
Rectangular,S-220150-70,Smoothwall,Rectangular,Reversed Rolled Edge,1600,,"""Premium,Air Fryer,BBQ""",220,150,202,132,184,114,70,,,,
Rectangular,S-220130-58,Smoothwall,Rectangular,Reversed Rolled Edge,1116,,"""Premium,Air Fryer,BBQ""",220,130,202,112,188,98,58,,,,
Rectangular,S-220130-70,Smoothwall,Rectangular,Reversed Rolled Edge,1320,,"""Premium,Air Fryer,BBQ""",220,130,202,112,190,100,70,,,,
Rectangular,S-221168-47,Smoothwall,Rectangular,Reversed Rolled Edge,1240,,"""Premium,BBQ""",221,168,199,146,186,134,47,,,,
Rectangular,S-221168-76,Smoothwall,Rectangular,Reversed Rolled Edge,1857,,"""Premium,BBQ""",221,168,199,146,178,125,76,,,,
Rectangular,S-234138-50,Smoothwall,Rectangular,Reversed Rolled Edge,1150,,"""Premium,BBQ""",234,138,218,122,202,106,50,,,,
Rectangular,S-234138-43,Smoothwall,Rectangular,Reversed Rolled Edge,1000,,"""Premium,BBQ""",234,138,218,122,206,110,43,,,,
Rectangular,S-234138-30,Smoothwall,Rectangular,Reversed Rolled Edge,725,,"""Premium,BBQ""",234,138,218,122,210,114,30,,,,
Rectangular,S-234138-43,Smoothwall,Rectangular,Reversed Rolled Edge,1000,,"""Premium,BBQ""",234,138,218,121,204,107,43,,,,
Rectangular,S-236185-46,Smoothwall,Rectangular,Reversed Rolled Edge,1485,,"""Premium,BBQ""",236,185,218,167,202,151,46,,,,
